id,label
DNALI1,Entity
GPX1,Entity
metastasis from malignant tumor of colon,Entity
SAMHD1,Entity
Asthenia,Entity
Docetaxel,Entity
Elevated carcinoembryonic antigen level,Entity
WFS1,Entity
Donepezil,Entity
CTBP1,Entity
TCIM,Entity
colon neuroendocrine tumor G1,Entity
TEX14,Entity
Allantoin,Entity
Hypercholesterolemia,Entity
FOLR2,Entity
EIF2AK3,Entity
Ipratropium,Entity
Tesamorelin,Entity
Bupivacaine,Entity
rectal medullary carcinoma,Entity
oral cavity mucoepidermoid carcinoma,Entity
Aminoglutethimide,Entity
"jejunal neuroendocrine tumor, well differentiated, low or intermediate grade",Entity
MBD3L2,Entity
Chloroprocaine,Entity
ATG5,Entity
CDKL5,Entity
Carbamazepine,Entity
GRM1,Entity
Duodenal stenosis,Entity
APPL1,Entity
Increased body weight,Entity
Recurrent skin infections,Entity
FPR2,Entity
SNX8,Entity
Iloperidone,Entity
RPS15,Entity
Crohn jejunoileitis,Entity
rectal adenosquamous carcinoma,Entity
Clinodactyly of the 5th finger,Entity
CRHBP,Entity
urinary bladder disease,Entity
DBT,Entity
HHEX,Entity
intestinal schistosomiasis,Entity
Glucosamine,Entity
Ademetionine,Entity
hilar cholangiocarcinoma,Entity
MIR1285-1,Entity
Cefradine,Entity
Prostate neoplasm,Entity
Round face,Entity
cholesterolosis of gallbladder,Entity
oral candidiasis,Entity
PLG,Entity
LGALS3BP,Entity
Carbutamide,Entity
Calcium acetate,Entity
MAT1A,Entity
Anemic pallor,Entity
Ferrous gluconate,Entity
ING4,Entity
Palmoplantar cutis laxa,Entity
HGF,Entity
CTNNA2,Entity
glucose transport disorder,Entity
SLC11A2,Entity
CADPS2,Entity
pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia,Entity
Mirex,Entity
Meckel diverticulum neoplasm,Entity
peritonitis,Entity
leather-bottle stomach,Entity
Hypolipidemia,Entity
NIBAN1,Entity
Hexachlorocyclohexane,Entity
MIR335,Entity
ITGAM,Entity
MLXIPL,Entity
gastric mucosal hypertrophy,Entity
Sparse or absent eyelashes,Entity
autosomal dominant polycystic liver disease,Entity
Renal tubular acidosis,Entity
Rheumatoid arthritis,Entity
hepatic tuberculosis,Entity
tubular adenocarcinoma,Entity
pancreatic mucinous cystadenoma,Entity
Metacycline,Entity
duodenal villous adenoma,Entity
MST1,Entity
Benzphetamine,Entity
Dimercaprol,Entity
oropharynx squamous cell carcinoma,Entity
AJUBA,Entity
hepatopulmonary syndrome,Entity
Hyperventilation,Entity
PNP,Entity
Gallium,Entity
porphyria cutanea tarda,Entity
MBOAT1,Entity
Hepatocellular carcinoma,Entity
displacement of cardia through esophageal hiatus,Entity
Hamartomatous polyposis,Entity
Echothiophate,Entity
POLB,Entity
Short neck,Entity
Sotalol,Entity
SNX5,Entity
Gliclazide,Entity
Sulfadiazine,Entity
SERPINA4,Entity
Butabarbital,Entity
Methenamine,Entity
Almotriptan,Entity
CD46,Entity
Ureteropelvic junction obstruction,Entity
ATP6V1E1,Entity
gastroparesis (disease),Entity
Congestive heart failure,Entity
cystadenoma,Entity
goblet cell carcinoma,Entity
choledocholithiasis,Entity
Pneumonia,Entity
BCAR1,Entity
"diabetes mellitus, noninsulin-dependent",Entity
MICA,Entity
MMP2,Entity
Azithromycin,Entity
Abnormal sacrum morphology,Entity
Cyclosporine,Entity
"neuronal intestinal dysplasia, type B",Entity
Cilastatin,Entity
Rifabutin,Entity
MIR190A,Entity
FILIP1,Entity
pharynx cancer,Entity
Ceftriaxone,Entity
DACT1,Entity
SLC26A6,Entity
rectal signet ring cell adenocarcinoma,Entity
SULT1E1,Entity
invasive carcinoma,Entity
"Fatty Acids, Omega-3",Entity
GSR,Entity
Secretin human,Entity
Histrelin,Entity
LGR5,Entity
PRKCD,Entity
OPRM1,Entity
ZIC4,Entity
congenital generalized lipodystrophy,Entity
Sertraline,Entity
Rifaximin,Entity
oropharyngeal carcinoma,Entity
MIR320A,Entity
MIR1304,Entity
Recurrent upper respiratory tract infections,Entity
SMAD3,Entity
accessory pancreas,Entity
DMKN,Entity
fenoprop,Entity
EXOC4,Entity
ADRA2B,Entity
KRT5,Entity
Fragile skin,Entity
MIR497,Entity
duodenal gastrin-producing neuroendocrine tumor,Entity
Agitation,Entity
salivary gland adenoid cystic carcinoma,Entity
CCR5,Entity
HRH4,Entity
anus disease,Entity
rectum mucinous adenocarcinoma,Entity
GALK1,Entity
Methylprednisolone,Entity
MIR99A,Entity
GABRD,Entity
TUBA1A,Entity
SULT2B1,Entity
Mexiletine,Entity
GSTO1,Entity
rectum sarcoma,Entity
liver sarcoma,Entity
SLC30A10,Entity
Boceprevir,Entity
RPS6,Entity
DEPDC1B,Entity
Aliskiren,Entity
cascade stomach,Entity
MTNR1B,Entity
CFAP77,Entity
TRNE,Entity
ABCC13,Entity
Pentobarbital,Entity
GDNF,Entity
Abnormality of the pylorus,Entity
Cytarabine,Entity
duodenitis,Entity
Air Pollutants,Entity
DAPK1,Entity
Flutamide,Entity
Sensory impairment,Entity
Dehydrocholic acid,Entity
esophageal atresia (disease),Entity
TSC1,Entity
classic or attenuated familial adenomatous polyposis,Entity
pneumatosis cystoides intestinalis,Entity
NRG1,Entity
TTLL3,Entity
Triflupromazine,Entity
MIR6852,Entity
DPEP1,Entity
IQUB,Entity
PTGS2,Entity
CPA1,Entity
maturity-onset diabetes of the young,Entity
PGAM1,Entity
SLC9A1,Entity
Acetaminophen,Entity
Coarse facial features,Entity
ampulla of vater mucinous adenocarcinoma,Entity
AKAP6,Entity
MIR205,Entity
SLC29A1,Entity
ADH7,Entity
Bosentan,Entity
Capsaicin,Entity
ARID5B,Entity
DMRTA1,Entity
hyperbiliverdinemia,Entity
C3,Entity
Nitrogen Dioxide,Entity
Potassium citrate,Entity
MIR302C,Entity
Phenytoin,Entity
CYP8B1,Entity
MAP2K4,Entity
FATE1,Entity
PTMA,Entity
Transitional cell carcinoma of the bladder,Entity
TTK,Entity
Dyskinesia,Entity
Spontaneous esophageal perforation,Entity
IKZF1,Entity
MYCN,Entity
rectal cancer,Entity
ampulla of vater cancer,Entity
Babinski sign,Entity
immune dysregulation disease with immunodeficiency,Entity
ABCA6,Entity
SYDE1,Entity
Mandibular prognathia,Entity
appendix L-cell glucagon-like peptide-producing neuroendocrine tumor,Entity
non-alcoholic steatohepatitis,Entity
MAP2K2,Entity
Aagenaes syndrome,Entity
Benazepril,Entity
PRDX6,Entity
Carious teeth,Entity
Developmental cataract,Entity
Decreased fetal movement,Entity
ANXA7,Entity
inherited neuroendocrine tumor,Entity
diffuse large B-cell lymphoma,Entity
PPP1R3A,Entity
Dyspnea,Entity
GSTA4,Entity
Hydroxyzine,Entity
neoplastic syndrome,Entity
Guaiacol,Entity
PTTG1,Entity
IFT172,Entity
Erythematous plaque,Entity
Adrenal insufficiency,Entity
CDH7,Entity
Childhood onset,Entity
neurofibroma,Entity
KANSL1,Entity
gallbladder squamous cell carcinoma,Entity
Telaprevir,Entity
colon leiomyosarcoma,Entity
ANKS6,Entity
colorectal cancer,Entity
INPP4B,Entity
SLC51A,Entity
oropharynx cancer,Entity
CD53,Entity
CCDC92,Entity
Carvedilol,Entity
CHD1,Entity
AREG,Entity
ZEB2,Entity
MIR483,Entity
HSPA9,Entity
Pancreatic adenocarcinoma,Entity
Recurrent respiratory infections,Entity
WIPI1,Entity
PLAG1,Entity
Malathion,Entity
MIR455,Entity
HLA-A,Entity
chronic enteropathy associated with SLCO2A1 gene,Entity
MIR6881,Entity
Mitoxantrone,Entity
sessile serrated polyposis cancer syndrome,Entity
Portal hypertension,Entity
Pleural effusion,Entity
HIPK1,Entity
CDCA5,Entity
developmental anomaly of metabolic origin,Entity
MIR29B2,Entity
Mydriasis,Entity
genetic otorhinolaryngological malformation,Entity
neuroendocrine carcinoma,Entity
Cefaclor,Entity
Flavoxate,Entity
Heparin,Entity
SLC13A4,Entity
Fosaprepitant,Entity
KIF18A,Entity
MSLN,Entity
Pituitary null cell adenoma,Entity
Ectopic anus,Entity
GSTP1,Entity
Salsalate,Entity
Tiopronin,Entity
Bronchospasm,Entity
KDM8,Entity
familial melanoma,Entity
PTPRG,Entity
ALDH1A1,Entity
Multiple glomerular cysts,Entity
Impaired platelet aggregation,Entity
lipoma,Entity
MIR542,Entity
diffuse gastric adenocarcinoma,Entity
mucocele of appendix,Entity
malignant neoplasm of thoracic esophagus,Entity
Abnormality of blood and blood-forming tissues,Entity
Polygenic inheritance,Entity
SHH,Entity
GDI1,Entity
perinatal jaundice due to hepatocellular damage,Entity
Abnormal platelet morphology,Entity
HSD11B2,Entity
ACE,Entity
tongue neoplasm,Entity
autoimmune disease,Entity
GNB4,Entity
NME2,Entity
PAK3,Entity
perihilar intrahepatic cholangiocarcinoma,Entity
Crohn ileitis and jejunitis,Entity
Halogenated Diphenyl Ethers,Entity
MC4R,Entity
MSR1,Entity
GUCY2C,Entity
neoplasm of esophagus,Entity
CBFA2T3,Entity
NFKBIZ,Entity
CD300E,Entity
digestive system infectious disease,Entity
Calcium,Entity
SEMA3C,Entity
DIDO1,Entity
Phenyltoloxamine,Entity
CAMSAP2,Entity
CSRNP1,Entity
ACHE,Entity
tongue cancer,Entity
Indomethacin,Entity
CD274,Entity
Peritonitis,Entity
PDK4,Entity
F2R,Entity
RAG2,Entity
colloid carcinoma of the pancreas,Entity
MIR30C2,Entity
OGG1,Entity
Cefazolin,Entity
IAPP,Entity
KCNK16,Entity
MIR1260A,Entity
Hematuria,Entity
large cell carcinoma,Entity
Ondansetron,Entity
Elevated hemoglobin A1c,Entity
Vitamin A,Entity
Haloperidol,Entity
ICAM2,Entity
hydrops of gallbladder,Entity
GREM1,Entity
CAVIN2,Entity
Doxycycline,Entity
Intrahepatic cholestasis with episodic jaundice,Entity
Brain abscess,Entity
ARL6IP5,Entity
Sorafenib,Entity
liposarcoma,Entity
GRB14,Entity
Rokitansky-Aschoff sinuses of the gallbladder,Entity
gastroesophageal disease,Entity
XAF1,Entity
TROAP,Entity
MEP1A,Entity
Crusting erythematous dermatitis,Entity
Cognitive impairment,Entity
Acute hepatic failure,Entity
MIR873,Entity
IHH,Entity
spleen cancer,Entity
familial partial lipodystrophy,Entity
syndromic nail anomaly,Entity
"Defoliants, Chemical",Entity
Felbamate,Entity
TCF19,Entity
CYP26A1,Entity
PCNA,Entity
squamous cell carcinoma of floor of mouth,Entity
MTBP,Entity
TIMD4,Entity
Incoordination,Entity
PTPRD,Entity
lip neoplasm,Entity
BAK1,Entity
Enoxaparin,Entity
sarcomatous intrahepatic cholangiocarcinoma,Entity
SRC,Entity
NFATC1,Entity
non-syndromic intestinal malformation,Entity
Cholecystitis,Entity
SLC5A8,Entity
pancreatic insufficiency-anemia-hyperostosis syndrome,Entity
CYTB,Entity
DAP,Entity
MIR4433B,Entity
Vonoprazan,Entity
ZNF217,Entity
C2CD4A,Entity
tyrosinemia,Entity
septic peritonitis,Entity
MYO5B,Entity
RNF157,Entity
Neoplasm of the adrenal gland,Entity
NKX6-1,Entity
FBN1,Entity
Maprotiline,Entity
Thrombocytosis,Entity
hemorrhagic duodenitis,Entity
FPGS,Entity
FGF3,Entity
Sacrosidase,Entity
MAP1LC3B,Entity
Fenofibrate,Entity
Epinephrine,Entity
small intestinal vasoactive intestinal peptide producing tumor,Entity
L-Glutamine,Entity
Intestinal fistula,Entity
VPS18,Entity
MIR10A,Entity
extrahepatic bile duct cystadenoma,Entity
growth retardation-mild developmental delay-chronic hepatitis syndrome,Entity
CAPN10,Entity
Lymphedema,Entity
Secundum atrial septal defect,Entity
NR1I2,Entity
Guanfacine,Entity
inflammatory bowel disease,Entity
PEX11A,Entity
Desonide,Entity
NFE2L2,Entity
SORD,Entity
Xylenes,Entity
visceral myopathy,Entity
RASSF2,Entity
PITPNM3,Entity
eosinophilic colitis,Entity
BRD2,Entity
Death in early adulthood,Entity
Broad thumb,Entity
Neoplasm of the nervous system,Entity
Elevated urinary delta-aminolevulinic acid,Entity
SLC11A1,Entity
Abnormal circulating protein concentration,Entity
esophageal squamous cell carcinoma,Entity
Biperiden,Entity
ATR,Entity
ROBO2,Entity
gallbladder lymphoma,Entity
Large forehead,Entity
methyl bromide,Entity
GPC1,Entity
Neoplasm of the thymus,Entity
Osteoporosis,Entity
Methylene Chloride,Entity
neuroendocrine tumor of the anal canal,Entity
pancreatic hypoplasia-diabetes-congenital heart disease syndrome,Entity
MAP2,Entity
Decreased HDL cholesterol concentration,Entity
SUOX,Entity
CDC6,Entity
EPHA3,Entity
carcinoma in situ of oropharynx,Entity
IKZF3,Entity
Bromocriptine,Entity
Tranylcypromine,Entity
MIR1179,Entity
Posterior embryotoxon,Entity
AURKA,Entity
AR,Entity
Cholic Acid,Entity
Nyctalopia,Entity
esophageal atresia/tracheoesophageal fistula,Entity
Dyphylline,Entity
colorectal diffuse large B-cell lymphoma,Entity
MIR125B1,Entity
ACAD8,Entity
Reticulocytosis,Entity
Anti-liver cytosolic antigen type 1 antibody positivity,Entity
Protruding ear,Entity
HACL1,Entity
LRRC4,Entity
SERPINH1,Entity
jejunal cancer,Entity
Jejunal diverticula,Entity
Fosamprenavir,Entity
Osteolytic defects of the phalanges of the hand,Entity
Neoplasm of the gallbladder,Entity
Naloxone,Entity
Back pain,Entity
ZNF560,Entity
Tridihexethyl,Entity
extrahepatic bile duct mucinous adenocarcinoma,Entity
Erythroderma,Entity
soft tissue sarcoma,Entity
MTTP,Entity
Epstein-Barr virus-associated gastric carcinoma,Entity
ABCB4,Entity
Dexmedetomidine,Entity
intestinal obstruction,Entity
FST,Entity
LINGO2,Entity
Stanozolol,Entity
tonsillar squamous cell carcinoma,Entity
MRPL13,Entity
MIR499A,Entity
ABCB11,Entity
ETFDH,Entity
STX3,Entity
Gemfibrozil,Entity
RPL18,Entity
CISD2,Entity
Normochromic anemia,Entity
Nelarabine,Entity
Tetraparesis,Entity
CDH1,Entity
Lincomycin,Entity
Tenofovir disoproxil,Entity
small intestinal fibrosarcoma,Entity
primary ovarian failure,Entity
Squamous cell carcinoma,Entity
High palate,Entity
Etonogestrel,Entity
EIF4EBP2,Entity
ELF3,Entity
Abnormality of the ovary,Entity
Melphalan,Entity
HOXD9,Entity
IL2RA,Entity
ANXA10,Entity
Food allergy,Entity
FBXO30,Entity
HEY1,Entity
inflammatory diarrhea,Entity
SMAD5,Entity
Mannitol,Entity
UCP2,Entity
HSPA2,Entity
Arginine,Entity
malignant endocrine neoplasm,Entity
esophageal small cell neuroendocrine carcinoma,Entity
GJB1,Entity
TFPI2,Entity
gastrointestinal hamartoma,Entity
JAKMIP2,Entity
gallbladder papillary neoplasm with an associated invasive carcinoma,Entity
PCK1,Entity
UHRF1,Entity
Esophageal neoplasm,Entity
Alphaprodine,Entity
Vardenafil,Entity
MADCAM1,Entity
RBFOX2,Entity
Polymicrogyria,Entity
tonsillar lymphoma,Entity
SLC4A2,Entity
DHFR,Entity
MAD2L1,Entity
Gastrointestinal obstruction,Entity
White eyebrow,Entity
hyperinsulinism due to HNF1A deficiency,Entity
DEFA6,Entity
SLC22A15,Entity
polyp,Entity
Meckel diverticulitis,Entity
TMEM127,Entity
extrahepatic biliary atresia,Entity
cecum adenocarcinoma,Entity
BMI1,Entity
Perphenazine,Entity
cysticercosis,Entity
HNF4A,Entity
autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome,Entity
Abnormal joint morphology,Entity
Chilaiditi syndrome,Entity
Laryngeal carcinoma,Entity
BTG3,Entity
intrahepatic cholangiocarcinoma,Entity
STK40,Entity
Dysmenorrhea,Entity
Phenylmercuric nitrate,Entity
PRKAA1,Entity
Generalized-onset seizure,Entity
Kanamycin,Entity
pancreatic foamy gland adenocarcinoma,Entity
Color vision defect,Entity
IL1A,Entity
CCNY,Entity
Methylene blue,Entity
pyloric gland adenoma,Entity
rhabdomyosarcoma (disease),Entity
gastrointestinal tuberculosis,Entity
AP3S2,Entity
disorder of glycolysis,Entity
rectum leiomyoma,Entity
Mefloquine,Entity
salivary gland large cell carcinoma,Entity
Idarubicin,Entity
Abnormal intestine morphology,Entity
esophageal malformation,Entity
Lymphadenopathy,Entity
Abnormality of the pancreas,Entity
SLCO2A1,Entity
MIR141,Entity
pancreatic insulinoma,Entity
Penbutolol,Entity
CCDC80,Entity
Afamelanotide,Entity
ATP2A2,Entity
